polygon_id,name,glottocode,reference,year,map_name_full,map_image_file,url,lon,lat,note
1,Arandic,abcd1234,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,134.12675581298868,-22.228290381036746,
2,Paakintyi,abcd1235,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,143.1169441439772,-31.617227697112927,
3,Eastern Vic,abcd1236,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,146.37173307124039,-37.11140249925147,
4,Gumbaygnggirr,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,152.4183004256386,-31.107218088526736,
5,Kanyara,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,117.31523710406798,-22.17817708294729,
6,Karnic,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,140.2364192431781,-25.61821355523609,
7,Kartu,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,115.88260429232851,-26.986928121947674,
8,Kulin,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,142.76072655528353,-36.57461607491962,
9,Murray,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,140.73763963270054,-34.48294545697318,
10,Mantharta,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,115.01273186361813,-23.760308504048385,
11,Maric,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,147.19294091125892,-24.049682414486014,
12,Mayi,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,141.84150142754032,-19.109628810092225,
13,Muruwari,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,147.30544717220874,-29.16504895304884,
14,Ngayarta,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,120.87608016317223,-19.987562509525937,
15,Ngumpin-Yapa,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,128.48338791289638,-18.33991635319252,
16,Nyungar,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,121.55755894992824,-31.750796688428085,
17,Paman,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,143.30150209393585,-15.636255832632978,
18,Thura-Yura,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,136.25844555304582,-31.79423272520219,
19,Waka-Kabi,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,151.58557664631942,-26.56963245244708,
20,Warumungu,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,133.64276092769435,-18.164036207019095,
21,Wati,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,126.03240696526579,-25.847634734654143,
22,Central NSW,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,147.79409274170865,-32.509522102566635,
23,Yardli,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,140.6908308097412,-30.46925529789726,
24,Yolngu,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,134.84644371561407,-13.146798280899905,
25,Yuinkuri,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,150.14005159302323,-34.12904671845184,
26,Kalkac,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,139.92248425436017,-20.48322131509905,
27,Durubalic,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,152.84707083860016,-28.796695296891524,
28,Warluc,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,137.82621469055596,-18.942544157065306,
29,Djirbalic,,bowern2012pama-nyungan,traditional,Figure 1,figure1.jpg,,146.10856689401493,-19.08757778215577,
